category,category_display,scope_system,candidate_count,unanimous_decision_rate_pct,mean_candidate_score_stdev,fleiss_kappa,run1_run2_agreement_pct,run1_run2_cohen_kappa,run1_run3_agreement_pct,run1_run3_cohen_kappa,run2_run3_agreement_pct,run2_run3_cohen_kappa
conceptual_grounded,Conceptual / Grounded,All Systems,80,85.0,0.3229836886896524,0.768934531450578,91.25,0.8025387870239774,90.0,0.7679477882523568,88.75,0.7356828193832597
computation_verification,Computation / Verification,All Systems,80,96.25,0.12111994763775993,0.9333333333333332,96.25,0.8983050847457628,97.5,0.9333888426311406,98.75,0.9672131147540984
visual_step_by_step,Visual Step-by-Step,All Systems,80,92.5,0.2640609828431434,0.8999722145040288,95.0,0.8999999999999999,95.0,0.8999999999999999,95.0,0.8999999999999999
code_related,Code-Related,All Systems,80,85.0,0.32270943241385347,0.7993171207581353,93.75,0.8748435544430538,88.75,0.7744360902255638,87.5,0.7487437185929648
recovery_personalization_trace,Recovery / Personalization / Trace,All Systems,80,78.75,0.41192344568073275,0.7058611491601188,87.5,0.7366688610928241,82.5,0.6398713826366559,87.5,0.7427652733118971
conceptual_grounded,Conceptual / Grounded,Basic Tool Use,20,85.0,0.2769228824547475,0.19642857142857104,90.0,0.44444444444444436,90.0,0.0,90.0,0.0
conceptual_grounded,Conceptual / Grounded,Full Manager,20,75.0,0.5088751653361123,0.6666666666666672,85.0,0.7,85.0,0.7,80.0,0.603960396039604
conceptual_grounded,Conceptual / Grounded,Direct LLM,20,90.0,0.13891943675837232,0.7385620915032677,95.0,0.8275862068965515,90.0,0.6153846153846153,95.0,0.7727272727272725
conceptual_grounded,Conceptual / Grounded,Manager Without Recovery,20,90.0,0.36721727020937744,0.8653198653198653,95.0,0.8979591836734693,95.0,0.8999999999999999,90.0,0.8
computation_verification,Computation / Verification,Manager Without Recovery,20,100.0,0.034641016151377546,1.0,100.0,1.0,100.0,1.0,100.0,1.0
computation_verification,Computation / Verification,Direct LLM,20,95.0,0.118240052791419,0.8886827458256026,95.0,0.8275862068965515,95.0,0.8275862068965515,100.0,1.0
computation_verification,Computation / Verification,Full Manager,20,100.0,0.06353537786834033,1.0,100.0,1.0,100.0,1.0,100.0,1.0
computation_verification,Computation / Verification,Basic Tool Use,20,90.0,0.2680633437399029,0.8665183537263624,90.0,0.8,95.0,0.8999999999999999,95.0,0.8999999999999999
visual_step_by_step,Visual Step-by-Step,Direct LLM,20,90.0,0.17628671383258648,0.8666666666666665,95.0,0.8999999999999999,90.0,0.801980198019802,95.0,0.8999999999999999
visual_step_by_step,Visual Step-by-Step,Manager Without Recovery,20,90.0,0.39935451599660327,0.8653198653198654,90.0,0.797979797979798,100.0,1.0,90.0,0.797979797979798
visual_step_by_step,Visual Step-by-Step,Full Manager,20,100.0,0.18475208614068028,1.0,100.0,1.0,100.0,1.0,100.0,1.0
visual_step_by_step,Visual Step-by-Step,Basic Tool Use,20,90.0,0.29585061540270374,0.8665183537263624,95.0,0.8999999999999999,90.0,0.8,95.0,0.8999999999999999
code_related,Code-Related,Direct LLM,20,90.0,0.08206177100454018,0.76,90.0,0.6078431372549022,95.0,0.8275862068965515,95.0,0.8275862068965515
code_related,Code-Related,Full Manager,20,85.0,0.3209911267492702,0.7997775305895436,95.0,0.8999999999999999,85.0,0.7058823529411764,90.0,0.8
code_related,Code-Related,Basic Tool Use,20,90.0,0.3549117025327024,0.8660714285714286,95.0,0.8999999999999999,95.0,0.8999999999999999,90.0,0.797979797979798
code_related,Code-Related,Manager Without Recovery,20,75.0,0.5328731293689011,0.07407407407407335,95.0,0.6428571428571426,80.0,-0.08108108108108053,75.0,-0.1363636363636365
recovery_personalization_trace,Recovery / Personalization / Trace,Full Manager,20,95.0,0.26485411465195013,0.9147727272727276,100.0,1.0,95.0,0.8749999999999999,95.0,0.8749999999999999
recovery_personalization_trace,Recovery / Personalization / Trace,Manager Without Recovery,20,70.0,0.6310216144702121,0.5959595959595961,75.0,0.5098039215686274,80.0,0.5833333333333334,85.0,0.7058823529411764
recovery_personalization_trace,Recovery / Personalization / Trace,Basic Tool Use,20,85.0,0.37286172450610466,0.7997775305895436,95.0,0.8999999999999999,85.0,0.7,90.0,0.8
recovery_personalization_trace,Recovery / Personalization / Trace,Direct LLM,20,65.0,0.37895632909466415,0.42544459644322885,80.0,0.4936708860759495,70.0,0.24050632911392397,80.0,0.5604395604395604
